text,label
"Scientists discovered a miracle pill that cures all diseases overnight and Big Pharma is hiding it from the public.",1
"The moon landing was staged by NASA in a Hollywood studio directed by Stanley Kubrick.",1
"Drinking bleach mixed with lemon juice will kill coronavirus and boost your immune system.",1
"5G towers were installed to spread COVID-19 and control human minds through radiation.",1
"Vaccines contain microchips that allow the government to track and control every citizen.",1
"A secret government agency is adding fluoride to water to make the population docile and controllable.",1
"You won't believe what they are hiding from you about cancer cures that doctors don't want you to see.",1
"Shocking expose: Scientists paid by oil companies to hide proof that free energy exists.",1
"BREAKING: FDA secretly banning natural herbs because they work better than expensive drugs.",1
"100% proven: Eating raw garlic for 7 days will cure any infection — doctors are shocked.",1
"The earth is actually flat and NASA has been lying for decades with photo manipulation.",1
"Chemtrails from airplanes are spreading mind-control chemicals over major cities.",1
"The COVID-19 virus was engineered in a lab as a bioweapon and released intentionally.",1
"Ancient aliens built the Egyptian pyramids — human technology of that era was too primitive.",1
"Bill Gates is planning to use the COVID vaccine to reduce global population by 15 percent.",1
"Exposed: Elite bankers have been secretly running the world government for over 100 years.",1
"Scientists find that mobile phones emit radiation that causes cancer in 90 percent of users.",1
"New research proves that the human brain can charge electric devices through meditation.",1
"CURE FOUND: A single plant extract known for centuries eliminates all forms of cancer instantly.",1
"Whistleblower reveals CIA has been using chemtrails to poison specific ethnic groups globally.",1
"According to a new study published in Nature, climate change is accelerating faster than predicted.",0
"The World Health Organization confirms that vaccines are safe and effective for preventing disease.",0
"NASA reports that the James Webb Space Telescope has captured the deepest infrared image of the universe.",0
"Researchers at MIT have developed a new battery technology that could triple the range of electric vehicles.",0
"The United Nations has released its annual report on global economic trends and forecast.",0
"Scientists from Oxford University published peer-reviewed research on new antibiotic treatments.",0
"Apple announced its quarterly earnings report, showing a revenue increase of 12 percent year over year.",0
"A new study in The Lancet confirms that regular exercise reduces the risk of heart disease significantly.",0
"The Federal Reserve raised interest rates by 25 basis points in response to inflation data.",0
"Researchers have discovered a new species of deep-sea fish in the Pacific Ocean near the Mariana Trench.",0
"Python programming language was created by Guido van Rossum and first released in 1991.",0
"The Eiffel Tower is located in Paris, France, and was completed in 1889 for the World's Fair.",0
"Water boils at 100 degrees Celsius at sea level under standard atmospheric pressure.",0
"Albert Einstein published his theory of general relativity in 1915, revolutionizing modern physics.",0
"The human genome contains approximately 3 billion base pairs and around 20000 protein-coding genes.",0
"Solar panels convert sunlight into electricity through a process called the photovoltaic effect.",0
"The Amazon rainforest produces about 20 percent of the world's oxygen supply annually.",0
"Antarctica is the driest, windiest, and coldest continent on Earth with average temperatures of minus 57 Celsius.",0
"The speed of light in a vacuum is approximately 299792 kilometers per second.",0
"Mount Everest is the highest mountain above sea level and stands at 8849 meters tall.",0
"The Great Wall of China stretches over 21000 kilometers and was built over many centuries.",0
"Penicillin, the first antibiotic, was discovered by Alexander Fleming in 1928 in London.",0
"Jupiter is the largest planet in our solar system and has at least 95 known moons.",0
"DNA was first described scientifically by James Watson and Francis Crick in 1953.",0
"The human heart beats approximately 100000 times per day and pumps about 5 liters of blood per minute.",0
"Shakespeare wrote 37 plays, 154 sonnets, and several longer poems during his lifetime.",0
"The internet was initially developed by ARPA as ARPANET in 1969 for military communication.",0
"Gold is a chemical element with the atomic number 79 and symbol Au, derived from the Latin aurum.",0
"The Amazon River is the largest river by water volume and flows through South America into the Atlantic.",0
"A new peer-reviewed study from Johns Hopkins found that fruit consumption is associated with reduced cancer risk.",0
"Breaking news: Consumption of 5G radiation from phones causes irreversible brain damage in teens.",1
"EXPOSED: Chemotherapy kills more patients than cancer itself according to suppressed studies.",1
"Scientists STUNNED: Garlic oil mixed with turmeric cures type-2 diabetes permanently in 3 days.",1
"Secret documents prove that the moon is actually a hollow space station built by an advanced civilization.",1
"CONFIRMED: The deep state has been putting birth control chemicals in fast food for population control.",1
"Revealed: Every major world war was orchestrated by a single powerful banking family.",1
"Medical experts warn that wearing masks causes severe brain oxygen deprivation and permanent damage.",1
"A 12-year-old girl in India discovered a cure for HIV using papaya leaf extract in her backyard.",1
"Scientists admit smartphones are more addictive than heroin, deliberately designed to hook users.",1
"New study proves that the earth's magnetic poles will flip in 2026, causing mass extinction globally.",1
"WHO confirms that COVID-19 vaccinations have saved millions of lives worldwide since their rollout.",0
"The CDC recommends that adults get an annual flu vaccine to reduce the risk of influenza.",0
"Researchers at Harvard Medical School published findings on the effectiveness of new diabetes medication.",0
"The European Space Agency successfully launched its latest satellite for earth observation missions.",0
"A new report from the IMF shows global economic growth slowing due to supply chain disruptions.",0
"Scientists at CERN have conducted new experiments using the Large Hadron Collider to study dark matter.",0
"Stanford University researchers developed a new AI model capable of diagnosing rare diseases from scans.",0
"The Nobel Prize in Chemistry was awarded to researchers who discovered mRNA vaccine technology.",0
"Global temperatures have risen by 1.1 degrees Celsius above pre-industrial levels, according to IPCC data.",0
"Astronomers discovered a potentially habitable exoplanet 40 light years away using the Kepler telescope.",0
